experiment_type,setting_value,trial,method,noise_sigma,outlier_ratio,n_points,init_rot_deg,init_trans_norm,huber_delta,success,clean_reprojection_rmse,observed_reprojection_rmse,rotation_error_deg,translation_error,num_iters,final_cost
noise,0.5,0,Ordinary-LM,0.5,0.1,80,4.99293447842627,0.13106126147257374,,1,14.83639337717417,44.61155695380039,3.12183682532971,0.34213637075373704,7,159215.2811073741
noise,0.5,0,Huber-LM,0.5,0.1,80,4.99293447842627,0.13106126147257374,5.0,1,0.5873930592810986,46.80153949004356,0.10706552679014258,0.012098289573682407,7,5786.965219690519
noise,0.5,1,Ordinary-LM,0.5,0.1,80,4.995368140112782,0.05639563572655374,,1,19.4971769179649,65.93761691888184,2.7261219388205045,0.5718888845381068,8,347821.5459952969
noise,0.5,1,Huber-LM,0.5,0.1,80,4.995368140112782,0.05639563572655374,5.0,1,0.49301068584699076,68.58682179907888,0.11455898624353272,0.01576597297197321,6,8362.159214981677
noise,0.5,2,Ordinary-LM,0.5,0.1,80,4.992378902076349,0.07368612884997983,,1,19.73871256105065,49.494964830829,1.8585147693591273,0.4395444284416758,7,195980.12348839993
noise,0.5,2,Huber-LM,0.5,0.1,80,4.992378902076349,0.07368612884997983,5.0,1,0.7264882117980689,53.01892741458627,0.0426111397036211,0.013344209068767444,7,6312.158219931864
noise,2.0,0,Ordinary-LM,2.0,0.1,80,4.998221769475992,0.12861545088130283,,1,17.636955273695538,61.23627159176356,3.5168878660456744,0.543021852485149,9,299990.4766768183
noise,2.0,0,Huber-LM,2.0,0.1,80,4.998221769475992,0.12861545088130283,5.0,1,0.7352296163255405,63.57155252611298,0.09524245382767049,0.01972738519100145,9,8042.056131822734
noise,2.0,1,Ordinary-LM,2.0,0.1,80,4.99301239079303,0.07664766804251565,,1,23.75568569543663,60.004431020356634,4.338886187580086,0.7247870495766597,7,288042.539366139
noise,2.0,1,Huber-LM,2.0,0.1,80,4.99301239079303,0.07664766804251565,5.0,1,0.5873821593028293,64.3916190852175,0.15991066444007168,0.019729719028006257,9,7835.052193238358
noise,2.0,2,Ordinary-LM,2.0,0.1,80,4.996771535783939,0.11240976903770723,,1,9.642643113411145,48.05532393970056,1.205663713223509,0.20131055052165067,7,184745.13271596457
noise,2.0,2,Huber-LM,2.0,0.1,80,4.996771535783939,0.11240976903770723,5.0,1,0.6001222610470729,48.94630659335663,0.14466907331718412,0.012139477630291278,7,5156.726314783009
outlier,0.0,0,Ordinary-LM,1.0,0.0,80,4.994495847472821,0.22880170653038975,,1,0.3071765081334083,1.2814094966240521,0.05083731452247496,0.006330184966418741,6,131.36082384306454
outlier,0.0,0,Huber-LM,1.0,0.0,80,4.994495847472821,0.22880170653038975,5.0,1,0.3071765081167865,1.2814094966240517,0.050837314508136486,0.0063301849665879945,6,131.36082384306448
outlier,0.0,1,Ordinary-LM,1.0,0.0,80,4.998322888354939,0.20864939534413843,,1,0.13473710563392088,1.3477102966717356,0.03195360345160313,0.0032728029167225278,6,145.30584350040135
outlier,0.0,1,Huber-LM,1.0,0.0,80,4.998322888354939,0.20864939534413843,5.0,1,0.13473710495920788,1.3477102966717442,0.03195360317785767,0.003272802884925174,5,145.30584350040326
outlier,0.0,2,Ordinary-LM,1.0,0.0,80,4.993566116404389,0.06727019836831466,,1,0.3310091297055037,1.3319493920870866,0.08167480616159221,0.009421332287991253,6,141.92713464649282
outlier,0.0,2,Huber-LM,1.0,0.0,80,4.993566116404389,0.06727019836831466,5.0,1,0.33100912981825925,1.331949392087086,0.08167480623299045,0.00942133229608598,6,141.92713464649262
outlier,0.2,0,Ordinary-LM,1.0,0.2,80,4.992444530846082,0.10196247871695684,,1,18.628035234215503,77.7714128987014,3.870184057538138,0.5304436406515977,6,483871.4131408238
outlier,0.2,0,Huber-LM,1.0,0.2,80,4.992444530846082,0.10196247871695684,5.0,1,0.7081536898891474,79.7955124222217,0.17062656855806071,0.0200279390106168,6,13117.314988646307
outlier,0.2,1,Ordinary-LM,1.0,0.2,80,4.992163304268207,0.16376983911488308,,1,9.167314406208924,56.944299544403805,1.158974239033695,0.13483046054628103,6,259412.26004822293
outlier,0.2,1,Huber-LM,1.0,0.2,80,4.992163304268207,0.16376983911488308,5.0,1,0.4164113868139759,57.65097616362466,0.12172904620146283,0.011181361973064933,7,9279.96953726815
outlier,0.2,2,Ordinary-LM,1.0,0.2,80,4.998290504681851,0.06510961768492123,,1,26.01708039007568,78.6173212249357,5.529343611869006,0.7898804783565111,7,494454.655726778
outlier,0.2,2,Huber-LM,1.0,0.2,80,4.998290504681851,0.06510961768492123,5.0,1,1.1752472890776737,82.42029997326482,0.2222040370755646,0.03261603364571573,7,13485.841369557844
initialization,2.0,0,Ordinary-LM,1.0,0.1,80,1.9998252091768893,0.12671469572765834,,1,12.94108799596947,54.71931115941644,2.5201848843117416,0.29384938641485525,6,239536.2411008829
initialization,2.0,0,Huber-LM,1.0,0.1,80,1.9998252091768893,0.12671469572765834,5.0,1,0.3842238247120742,56.16423846341205,0.04604607828485375,0.008339930444094552,9,5602.296267323759
initialization,2.0,1,Ordinary-LM,1.0,0.1,80,1.9970300064408277,0.18615954077562633,,1,28.662961786702578,69.26622266963352,2.9044712244199555,0.6644340619616063,9,383824.7682335402
initialization,2.0,1,Huber-LM,1.0,0.1,80,1.9970300064408277,0.18615954077562633,5.0,1,0.89813703507133,74.64754822323539,0.020567344553407287,0.019763534155471007,6,8666.039148351074
