experiment_type,setting_value,method,noise_sigma,outlier_ratio,n_points,init_rot_deg,init_trans_norm,huber_delta,success_rate,clean_reprojection_rmse_mean,clean_reprojection_rmse_std,observed_reprojection_rmse_mean,observed_reprojection_rmse_std,rotation_error_deg_mean,rotation_error_deg_std,translation_error_mean,translation_error_std,num_iters_mean,final_cost_mean
huber_delta,2.0,Huber-LM,1.0,0.25,80.0,4.992279814936581,0.13540651442407156,2.0,1.0,0.5429880231034067,0.18944581860007237,100.48353328724062,3.914402429607555,0.05327304644948718,0.020530317836348223,0.011179641546969874,0.00409466318776376,12.666666666666666,7447.580633761344
huber_delta,5.0,Huber-LM,1.0,0.25,80.0,4.995724097595688,0.18082290284778577,5.0,1.0,1.1398080274480913,0.1429247791947714,106.58871368147969,8.993125069534079,0.1335306252437303,0.043084875777413684,0.024053786381431522,0.008349655375571351,7.333333333333333,19432.113686857465
huber_delta,12.0,Huber-LM,1.0,0.25,80.0,4.994402113103624,0.16670355899353495,12.0,1.0,3.007566298129445,0.5368957232142691,91.23548035293594,5.853571015323892,0.500481720603646,0.26039425315105513,0.08711621048813874,0.011812122570171557,8.0,39357.90393328847
initialization,2.0,Huber-LM,1.0,0.10000000000000002,80.0,1.9982930456643713,0.1823926207271094,5.0,1.0,0.6547705355212777,0.21068265212321624,69.04152999714792,9.130963678797743,0.04417466129434754,0.01855852852662222,0.014235304404234367,0.004670886895886179,7.0,7786.513182775879
initialization,2.0,Ordinary-LM,1.0,0.10000000000000002,80.0,1.9982930456643713,0.1823926207271094,,1.0,21.7330788812604,6.552094498168631,65.59361048573932,7.823101767397569,2.0950299142492788,0.8869761286425435,0.4472457685222863,0.1578719025054899,7.666666666666667,349097.812625436
initialization,8.0,Huber-LM,1.0,0.10000000000000002,80.0,7.9880077716076086,0.17457341816256977,5.0,1.0,0.4207897589050867,0.05070684931946706,58.91080771903603,6.4274980267057815,0.1230867266720214,0.019889270132951,0.014611946323040264,0.00188117733498251,6.666666666666667,6947.351391073936
initialization,8.0,Ordinary-LM,1.0,0.10000000000000002,80.0,7.9880077716076086,0.17457341816256977,,1.0,13.16277587148106,2.832347982058146,57.45363671682196,6.265196172973926,2.5217024729452344,0.4946177957341437,0.36448340151757286,0.1003529090023276,6.666666666666667,267213.8444059521
initialization,16.0,Huber-LM,1.0,0.10000000000000002,80.0,15.986071665841564,0.06943893864481461,5.0,1.0,0.5264676130578778,0.03194681032998261,63.80318238887016,10.795563044936872,0.137094191387113,0.05237308029911487,0.014561075280541827,0.004012362920358017,6.333333333333333,7583.8391592181315
initialization,16.0,Ordinary-LM,1.0,0.10000000000000002,80.0,15.986071665841564,0.06943893864481461,,1.0,17.2895777087906,2.7988629034423975,61.501934859189326,10.563904369816814,3.5251869598298273,0.3086169459198807,0.4279769782782991,0.06572181114787246,6.0,311526.7253566881
noise,0.5,Huber-LM,0.5,0.10000000000000002,80.0,4.993560506871801,0.08704767534970244,5.0,1.0,0.6022973189753861,0.0958976589871903,56.135762901236234,9.16280993688516,0.08807855091243215,0.032295532148872,0.013736157204807689,0.0015227590931230846,6.666666666666667,6820.427551534686
noise,0.5,Ordinary-LM,0.5,0.10000000000000002,80.0,4.993560506871801,0.08704767534970244,,1.0,18.024094285396572,2.2562007412065777,53.34804623450375,9.122678175333915,2.5688245111697805,0.5276062388022504,0.45118989457783987,0.09415684453331283,7.333333333333333,234338.98353035699
noise,2.0,Huber-LM,2.0,0.10000000000000002,80.0,4.99600189868432,0.1058909626538419,5.0,1.0,0.6409113455584808,0.06689558878570742,58.96982606822903,7.095601186072969,0.1332740638616421,0.02760288688188717,0.017198860616432995,0.003577524144995996,8.333333333333334,7011.278213281366
noise,2.0,Ordinary-LM,2.0,0.10000000000000002,80.0,4.99600189868432,0.1058909626538419,,1.0,17.01176136084777,5.778560564824229,56.43200885060693,5.944521027567921,3.0204792556164235,1.3264204712519865,0.4897064841944865,0.21700815290014483,7.666666666666667,257592.71625297397
outlier,0.0,Huber-LM,1.0,0.0,80.0,4.995461617410716,0.16824043341428094,5.0,1.0,0.2576409142980845,0.08744906413372525,1.3203563951276271,0.028281291880175734,0.054821907972994875,0.020493206144518245,0.006341440049199717,0.0025101392375245918,5.666666666666667,139.53126732998678
outlier,0.0,Ordinary-LM,1.0,0.0,80.0,4.995461617410716,0.16824043341428094,,1.0,0.25764091449094434,0.08744906378924243,1.3203563951276247,0.02828129188017283,0.05482190804522343,0.02049320601057992,0.006341440057044174,0.002510139221256766,6.0,139.53126732998624
outlier,0.2,Huber-LM,1.0,0.20000000000000004,80.0,4.994299446598713,0.11028064517225372,5.0,1.0,0.7666041219269323,0.3125383404694992,73.28892951970373,11.109502428017981,0.17151988394502937,0.04102360667610098,0.021275111543132486,0.008794993535073643,6.666666666666667,11961.041965157434
outlier,0.2,Ordinary-LM,1.0,0.20000000000000004,80.0,4.994299446598713,0.11028064517225372,,1.0,17.93747667683337,6.89619734678219,71.11101122268029,10.023328790232641,3.519500636146946,1.801345101173602,0.4850515265181299,0.26934236512590565,6.333333333333333,412579.44297194155
point_count,40.0,Huber-LM,1.0,0.25,40.0,4.997233946774802,0.17946275476374793,5.0,1.0,1.7205203073533548,0.29476923138355143,89.66146936740968,3.274016266235549,0.47999530847965627,0.08211710641528244,0.05222481559445877,0.005681032487796075,12.0,7861.907825546538
point_count,40.0,Ordinary-LM,1.0,0.25,40.0,4.997233946774802,0.17946275476374793,,1.0,36.40992007917125,3.4398199044912396,82.49206044164015,4.3942237448851245,9.587905529925717,1.4382440071971305,1.0874893723149863,0.17882002770885078,8.333333333333334,272969.96952909284
